userId,movieId,rating,timestamp,user_encoded,movie_encoded
1,804,4.0,2000-07-30 18:08:19,0,632
1,1210,5.0,2000-07-30 18:08:19,0,910
1,2018,5.0,2000-07-30 18:08:43,0,1492
1,2628,4.0,2000-07-30 18:08:43,0,1978
1,2826,4.0,2000-07-30 18:08:43,0,2125
1,3578,5.0,2000-07-30 18:11:08,0,2670
1,3617,4.0,2000-07-30 18:11:23,0,2692
1,3744,4.0,2000-07-30 18:11:34,0,2798
1,101,5.0,2000-07-30 18:14:28,0,89
1,441,4.0,2000-07-30 18:14:28,0,384
1,2858,5.0,2000-07-30 18:14:28,0,2144
1,1473,4.0,2000-07-30 18:14:35,0,1125
1,2997,4.0,2000-07-30 18:14:56,0,2257
1,235,4.0,2000-07-30 18:15:08,0,201
1,1060,4.0,2000-07-30 18:15:24,0,810
1,356,4.0,2000-07-30 18:16:02,0,314
1,223,3.0,2000-07-30 18:16:25,0,190
1,1500,4.0,2000-07-30 18:16:25,0,1145
1,2700,5.0,2000-07-30 18:16:25,0,2027
1,2395,5.0,2000-07-30 18:18:13,0,1795
1,3243,3.0,2000-07-30 18:18:13,0,2429
1,1517,5.0,2000-07-30 18:18:27,0,1153
1,3253,5.0,2000-07-30 18:18:27,0,2438
1,1580,3.0,2000-07-30 18:18:45,0,1182
1,1732,5.0,2000-07-30 18:18:45,0,1297
1,2596,5.0,2000-07-30 18:19:04,0,1956
1,3450,5.0,2000-07-30 18:19:04,0,2578
1,231,5.0,2000-07-30 18:19:39,0,197
1,333,5.0,2000-07-30 18:19:39,0,291
1,543,4.0,2000-07-30 18:19:39,0,476
1,1042,4.0,2000-07-30 18:19:39,0,797
1,216,5.0,2000-07-30 18:20:08,0,184
1,500,3.0,2000-07-30 18:20:08,0,436
1,3052,5.0,2000-07-30 18:20:08,0,2300
1,3809,4.0,2000-07-30 18:20:20,0,2843
1,1777,4.0,2000-07-30 18:20:30,0,1318
1,3,4.0,2000-07-30 18:20:47,0,2
1,2542,5.0,2000-07-30 18:21:05,0,1916
1,2502,5.0,2000-07-30 18:21:18,0,1882
1,1080,5.0,2000-07-30 18:22:07,0,819
1,1136,5.0,2000-07-30 18:22:07,0,862
1,1793,4.0,2000-07-30 18:23:24,0,1325
1,1256,5.0,2000-07-30 18:24:02,0,954
1,1927,5.0,2000-07-30 18:24:57,0,1406
1,923,5.0,2000-07-30 18:25:29,0,705
1,3671,5.0,2000-07-30 18:26:29,0,2729
1,260,5.0,2000-07-30 18:28:00,0,224
1,1073,5.0,2000-07-30 18:28:00,0,815
1,1097,5.0,2000-07-30 18:28:00,0,835
1,2174,4.0,2000-07-30 18:28:00,0,1627
1,2872,5.0,2000-07-30 18:28:00,0,2156
1,367,4.0,2000-07-30 18:28:30,0,325
1,1967,4.0,2000-07-30 18:28:30,0,1443
1,2005,5.0,2000-07-30 18:28:30,0,1479
1,2093,3.0,2000-07-30 18:28:30,0,1555
1,2161,5.0,2000-07-30 18:28:30,0,1616
1,2193,4.0,2000-07-30 18:28:30,0,1643
1,2797,4.0,2000-07-30 18:28:30,0,2102
1,2105,4.0,2000-07-30 18:28:45,0,1566
1,2143,4.0,2000-07-30 18:28:45,0,1600
1,3479,4.0,2000-07-30 18:28:45,0,2599
1,2054,4.0,2000-07-30 18:29:07,0,1521
1,673,3.0,2000-07-30 18:29:35,0,559
1,1009,3.0,2000-07-30 18:29:35,0,767
1,2253,2.0,2000-07-30 18:29:35,0,1673
1,3489,4.0,2000-07-30 18:29:35,0,2604
1,1920,4.0,2000-07-30 18:29:40,0,1400
1,3439,4.0,2000-07-30 18:29:59,0,2568
1,3440,4.0,2000-07-30 18:29:59,0,2569
1,1196,5.0,2000-07-30 18:30:27,0,897
1,1198,5.0,2000-07-30 18:30:27,0,899
1,1214,4.0,2000-07-30 18:30:55,0,914
1,2692,5.0,2000-07-30 18:30:55,0,2019
1,3793,5.0,2000-07-30 18:30:55,0,2832
1,1197,5.0,2000-07-30 18:31:12,0,898
1,2944,5.0,2000-07-30 18:31:12,0,2214
1,3062,4.0,2000-07-30 18:31:12,0,2308
1,2028,4.0,2000-07-30 18:31:28,0,1502
1,2571,5.0,2000-07-30 18:31:28,0,1938
1,2949,5.0,2000-07-30 18:31:28,0,2218
1,457,5.0,2000-07-30 18:31:49,0,398
1,1220,5.0,2000-07-30 18:31:49,0,920
1,1222,5.0,2000-07-30 18:31:49,0,922
